id,Sentence,Aspect Term,polarity,from,to
814,The food was absolutely amazing!!,food,positive,4,8
831,I must say it's a little pricey for the food because it was not as spectacular as the view.,food,negative,40,44
835,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,food,conflict,4,8
837,Why do people rave about the ambience.,ambience,negative,29,37
838,The aesthetics of this place are like an airport lounge.,ambience,negative,4,14
839,"Given the incredible architecture surrounding it, this place has no character.",ambience,positive,21,33
840,Food was OK - fish was cooked well.,food,neutral,0,4
842,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",service,conflict,0,7
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,positive,64,68
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,positive,80,87
843,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,ambience,positive,102,112
844,No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,positive,24,28
846,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive,4,11
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,conflict,25,29
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive,0,7
863,The food was delicious but do not come here on a empty stomach.,food,conflict,4,8
864,The portions are small but being that the food was so good makes up for that.,food,positive,42,46
869,The ambience is authentic and relaxing and we have always received attentive and prompt service.,ambience,positive,4,12
869,The ambience is authentic and relaxing and we have always received attentive and prompt service.,service,positive,88,95
870,"In addition, the food is very good and the prices are reasonable.",food,positive,17,21
872,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,ambience,positive,67,77
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive,10,18
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive,23,33
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative,50,54
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative,59,66
885,"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",food,negative,65,69
891,The food itself was just ok - nothing spectacular - but the service was awful.,food,neutral,4,8
891,The food itself was just ok - nothing spectacular - but the service was awful.,service,negative,60,67
899,Food and service was okay.,food,neutral,0,4
899,Food and service was okay.,service,neutral,9,16
905,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well.",food,positive,51,62
905,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well.",service,positive,75,82
908,"Orsay, is without a doubt one of the best values for authentic French food in NYC.",food,positive,63,74
910,"Service was very good - prompt, attentive and non-intrusive.",service,positive,0,7
911,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food,positive,0,4
916,The food was average or above including some surprising tasty dishes.,food,positive,4,8
917,Service was also very good.,service,positive,0,7
920,The food was good.,food,positive,4,8
922,but the service was a bit slow.,service,negative,8,15
925,The service was attentive.,service,positive,4,11
928,I care more about the food and ambience.,food,neutral,22,26
928,I care more about the food and ambience.,ambience,neutral,31,39
937,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,service,negative,16,23
937,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,food,negative,27,39
938,"I found the food, service and value exceptional everytime I have been there.",food,positive,12,16
938,"I found the food, service and value exceptional everytime I have been there.",service,positive,18,25
939,The food was authentic.,food,positive,4,8
941,The service was excellent - friendly and attentive.,service,positive,4,11
945,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative,84,91
953,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",food,negative,66,70
953,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",service,negative,160,167
956,The food was exceptional.,food,positive,4,8
